X,Y,OBJECTID,ADDRESS,TYPE,WEBSITE,EXPLORE_YORK_URL
-1.07052811510228,53.973753823326,737,Heworth 1: Mistral Court,Mobile Library,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.06397589743489,53.9769925310786,738,Heworth 2: Monkton Road shops,Mobile Library,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.05932388265805,53.9702872136147,739,Heworth 4: Charles Moor,Mobile Library,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.08722642973013,53.9022921684027,740,Naburn 2: Vicarage Lane,Mobile Library,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.09123994710983,53.9025023570128,741,Naburn 1: River,Mobile Library,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.08944720455979,53.9023539612162,742,Naburn,Mobile Library,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.19761142514077,53.9566480541994,743,Rufforth,Mobile Library,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.19801843975001,53.9576753879602,744,Rufforth 1: Yew Tree Close,Mobile Library,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.19408530530567,53.9553661729097,745,Rufforth 2: The Tankard Inn,Mobile Library,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.13106379259276,53.9989770681568,746,Skelton,Mobile Library,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.13547331114958,54.0004109547649,747,Skelton 1: Skelton Social Club,Mobile Library,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.13029402836745,53.9993130390226,748,Skelton 3: Brecksfield,Mobile Library,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.13246515309594,53.9976120522675,749,Skelton 2: Fairfields Drive,Mobile Library,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.00214848189118,53.9954689869093,750,Stockton on the Forest,Mobile Library,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.00019410365577,53.998095192012,751,Stockton on the Forest 2: School,Mobile Library,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-0.994948136763332,53.999920961239,752,Stockton on the Forest 3: The Rectory,Mobile Library,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-0.989821217590798,54.0031136536436,753,Stockton on the Forest: Westfield House,Mobile Library,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.00075656034008,53.993075657287,754,Stockton on the Forest 1: Stone Riggs,Mobile Library,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-0.969866324237577,53.8965895750909,755,Wheldrake 2: Cranbrooks,Mobile Library,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-0.974294659836097,53.8947309163939,756,Wheldrake 3: Valley View,Mobile Library,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-0.962961168742058,53.8964313448749,757,Wheldrake 5: White Rose House,Mobile Library,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-0.965164730143404,53.894706616772,758,Wheldrake 4: Back Lane South,Mobile Library,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-0.963529319561402,53.8980721006112,759,Wheldrake 1: Courtneys,Mobile Library,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-0.964270983637657,53.8963887064922,760,Wheldrake,Mobile Library,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.12261156500822,53.9380045533836,761,Woodthorpe,Mobile Library,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.12321098656766,53.9355641997505,762,Woodthorpe 1: Moorcroft Road,Mobile Library,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.12921733606208,53.9375312769565,763,Woodthorpe 2: Ryecroft Avenue,Mobile Library,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
